Field=#~Integer~#~50|Field=Line #~String~Line #~90|Field=Name~String~Name~131|Field=Description~String~Description~134|Field=Designator~String~Designator~131|Field=Quantity~Integer~Quantity~138|Field=Manufacturer 1~String~Manufacturer 1~156|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~225|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~199|Field=Supplier 1~String~Supplier 1~136|Field=Supplier Part Number 1~String~Supplier Part Number 1~194|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~174|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~166|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Arriquitaun.PrjPcb|ReportField=ProjectFullPath~C:\Users\johnc\Documents\Proyectos\Arriquitaun2.0\Arriquitaun\Arriquitaun.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [Arriquitaun.BomDoc]|ReportField=ReportTime~22:51:53|ReportField=ReportDate~13/04/2019|ReportField=ReportDateTime~13/04/2019 22:51:53|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~112|ReportField=TotalActualPrice~35,23|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~13/04/2019|ReportField=CurrentTime~22:51:45|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\johnc\Documents\Proyectos\Arriquitaun2.0\Arriquitaun\Arriquitaun2.SchDoc|ReportField=DocumentName~Arriquitaun2.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~13/04/2019|ReportField=Organization~|ReportField=ProjectName~Arriquitaun.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Arriquitaun.BomDoc|ReportField=DataSourceFullPath~C:\Users\johnc\Documents\Proyectos\Arriquitaun2.0\Arriquitaun\Arriquitaun.BomDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|21|STSSS2222|Interruptor Deslizante, DPDT, Taladro Pasante, Serie STSS2, 300 mA|S7|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAlps%2520Electric%26mpn%3DSTSSS2222%26seller%3DNewark%26sku%3D34M8660%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Alps%20Electric{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAlps%2520Electric%26mpn%3DSTSSS2222%26seller%3DNewark%26sku%3D34M8660%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}STSSS2222{URL.TIP}Manufacturer|Volume Production|Newark|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAlps%2520Electric%26mpn%3DSTSSS2222%26seller%3DNewark%26sku%3D34M8660%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}34M8660{URL.TIP}Supplier|1,27|1,27
2||BSS138P|MOSFET N-CH 60 V 360 mA|Q1, Q2|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DBSS138P%252C215%26seller%3DMouser%26sku%3D771-BSS138P215%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}NXP%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DBSS138P%252C215%26seller%3DMouser%26sku%3D771-BSS138P215%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}BSS138P,215{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNXP%2520Semiconductors%26mpn%3DBSS138P%252C215%26seller%3DMouser%26sku%3D771-BSS138P215%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}771-BSS138P215{URL.TIP}Supplier|0,24|0,48
3|1|47346-0001|Conectores USB MICRO USB B RECPT BTTM MOUNT ASSY|P1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0473460001%26seller%3DMouser%26sku%3D538-47346-0001%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Molex{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0473460001%26seller%3DMouser%26sku%3D538-47346-0001%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}0473460001{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMolex%26mpn%3D0473460001%26seller%3DMouser%26sku%3D538-47346-0001%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}538-47346-0001{URL.TIP}Supplier|0,89|0,89
4|4|Cap Pol1|Polarized Capacitor (Radial)|C1, C7, C8, C30, C31|5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1C106M160AA%26seller%3DMouser%26sku%3D810-C3216X5R1C106M%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}TDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1C106M160AA%26seller%3DMouser%26sku%3D810-C3216X5R1C106M%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}C3216X5R1C106M160AA{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTDK%26mpn%3DC3216X5R1C106M160AA%26seller%3DMouser%26sku%3D810-C3216X5R1C106M%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}810-C3216X5R1C106M{URL.TIP}Supplier|0,135|1,35
5|5|EVQ-Q2D01W|Interruptores táctiles Switch Light Touch 6mm Square SMD|U6|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEVQ-Q2D01W%26seller%3DMouser%26sku%3D667-EVQ-Q2D01W%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEVQ-Q2D01W%26seller%3DMouser%26sku%3D667-EVQ-Q2D01W%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}EVQ-Q2D01W{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEVQ-Q2D01W%26seller%3DMouser%26sku%3D667-EVQ-Q2D01W%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}667-EVQ-Q2D01W{URL.TIP}Supplier|0,3|0,3
6|6|FSM100|Interruptores táctiles 12mm FLSH OFF-(ON)|S1, S2, S3, S4, S5, S6|6|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1437565-2%26seller%3DMouser%26sku%3D506-FSM100%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}TE%20Connectivity{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1437565-2%26seller%3DMouser%26sku%3D506-FSM100%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1437565-2{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTE%2520Connectivity%26mpn%3D1437565-2%26seller%3DMouser%26sku%3D506-FSM100%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}506-FSM100{URL.TIP}Supplier|0,31|1,86
7|7|FT2232HL-Tray|Dual High Speed USB To Multipurpose UART/FIFO IC, 64-pin LQFP, Tray|U3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT2232HL-REEL%26seller%3DMouser%26sku%3D895-FT2232HL%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}FTDI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT2232HL-REEL%26seller%3DMouser%26sku%3D895-FT2232HL%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}FT2232HL-REEL{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT2232HL-REEL%26seller%3DMouser%26sku%3D895-FT2232HL%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}895-FT2232HL{URL.TIP}Supplier|6,71|6,71
8|9|IS62WVS2568FBLL-20NLI|SRAM 2Mb 256Kx8 20MHz 2.2-3.6V Serial SRAM|IC1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DISSI%26mpn%3DIS62WVS2568FBLL-20NLI%26seller%3DMouser%26sku%3D870-WVS2568FBLL20NLI%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}ISSI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DISSI%26mpn%3DIS62WVS2568FBLL-20NLI%26seller%3DMouser%26sku%3D870-WVS2568FBLL20NLI%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}IS62WVS2568FBLL-20NLI{URL.TIP}Manufacturer|Unknown|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DISSI%26mpn%3DIS62WVS2568FBLL-20NLI%26seller%3DMouser%26sku%3D870-WVS2568FBLL20NLI%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}870-WVS2568FBLL20NLI{URL.TIP}Supplier|3,05|3,05
9|10|L77HDE15SD1CO|D-Sub High Density Connectors D SUB|P5|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520Industrial%26mpn%3DL77HDE15SD1CO%26seller%3DMouser%26sku%3D523-L77HDE15SD1CO%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}Amphenol%20Industrial{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520Industrial%26mpn%3DL77HDE15SD1CO%26seller%3DMouser%26sku%3D523-L77HDE15SD1CO%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}L77HDE15SD1CO{URL.TIP}Manufacturer|Not Recommended for New Design|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAmphenol%2520Industrial%26mpn%3DL77HDE15SD1CO%26seller%3DMouser%26sku%3D523-L77HDE15SD1CO%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}523-L77HDE15SD1CO{URL.TIP}Supplier|0,9|0,9
10|13|NX3225SA-12MHZ|Crystal or Oscillator|Y1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNDK%26mpn%3DNX3225SA-12MHZ-STD-CSR-3%26seller%3DMouser%26sku%3D344-NX3225SA12MCSR3%26country%3DES%26channel%3DBOM%2520Report%26{URL.TEXT}NDK{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNDK%26mpn%3DNX3225SA-12MHZ-STD-CSR-3%26seller%3DMouser%26sku%3D344-NX3225SA12MCSR3%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NX3225SA-12MHZ-STD-CSR-3{URL.TIP}Manufacturer|Volume Production|Mouser|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DNDK%26mpn%3DNX3225SA-12MHZ-STD-CSR-3%26seller%3DMouser%26sku%3D344-NX3225SA12MCSR3%26country%3DES%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}344-NX3225SA12MCSR3{URL.TIP}Supplier|0,71|0,71
